Date,Category,SubCategory,Expense Amount,Account,Payee,Notes,Device
2013-01-23,"Business","Meal Claim","     15.00","Cash","","",""
2013-01-23,"Business","Parking Claim","      5.00","Cash","","",""
2013-01-25,"Business","Office Claim","  -2599.00","CIMB Saving","","Laptop claim ",""
2013-01-31,"Business","Meal Claim","     15.00","Cash","","",""
2013-01-31,"Business","Parking Claim","    100.00","Cash","","",""
2013-01-31,"Business","Meal Claim","    372.00","_UOB One Platinum","","",""
2013-02-01,"Business","Meal Claim","     30.00","Cash","","",""
2013-02-04,"Business","Meal Claim","     30.00","_Citiibank Platinum","","",""
2013-02-06,"Business","Parking Claim","      8.00","Cash","","",""
2013-02-06,"Business","Meal Claim","      9.20","Cash","","",""
2013-02-07,"Business","Meal Claim","     15.00","_Citiibank Platinum","","",""
2013-02-08,"Business","Meal Claim","     15.00","_Citiibank Platinum","","",""
2013-02-19,"Business","Parking Claim","      2.00","Cash","","",""
2013-02-19,"Business","Meal Claim","     30.00","_Citiibank Platinum","","",""
2013-02-22,"Business","Meal Claim","     15.00","SCB visa","","",""
2013-02-25,"Business","Meal Claim","     11.55","Cash","","",""
2013-02-27,"Business","Meal Claim","      6.30","Cash","","",""
2013-02-27,"Business","Parking Claim","      5.00","Cash","","",""
2013-02-28,"Business","Parking Claim","    300.00","Cash","","",""
2013-02-28,"Business","Meal Claim","     30.00","SCB visa","","",""
2013-03-05,"Business","Meal Claim","     15.00","Cash","","",""
2013-03-06,"Business","Meal Claim","     15.00","_Citiibank Platinum","","",""
2013-03-12,"Business","Meal Claim","     30.00","_Citiibank Platinum","","",""
2013-03-13,"Business","Meal Claim","     15.00","Cash","","",""
2013-03-13,"Business","Parking Claim","      3.50","Cash","","",""
2013-03-15,"Business","Meal Claim","     15.00","_HLB Wise Card","","",""
2013-03-18,"Business","Meal Claim","     45.00","Cash","","",""
2013-03-19,"Business","Meal Claim","     15.00","Cash","","",""
2013-03-20,"Business","Meal Claim","     30.00","_HLB Wise Card","","",""
2013-03-21,"Business","Meal Claim","     15.00","Cash","","",""
2013-03-22,"Business","Meal Claim","     15.00","Cash","","",""
2013-03-25,"Business","Meal Claim","     15.00","_HLB Wise Card","","",""
2013-03-26,"Business","Parking Claim","      7.00","Cash","","",""
2013-03-26,"Business","Meal Claim","     30.00","_HLB Wise Card","","",""
2013-03-28,"Business","Meal Claim","     11.60","Cash","","",""
2013-03-28,"Business","Parking Claim","    100.00","Cash","","",""
2013-04-01,"Business","Meal Claim","     44.50","_Citiibank Platinum","","",""
2013-04-04,"Business","Meal Claim","     15.00","Cash","","",""
2013-04-05,"Business","Meal Claim","     15.00","Cash","","",""
2013-04-08,"Business","Meal Claim","     15.00","_HLB Wise Card","","",""
2013-04-09,"Business","Meal Claim","      4.25","Cash","","",""
2013-04-10,"Business","Meal Claim","     15.00","_Citiibank Platinum","","",""
2013-04-11,"Business","Meal Claim","     15.00","Cash","","",""
2013-04-15,"Business","Travel Claim","     81.00","_HLB Wise Card","","",""
2013-04-17,"Business","Meal Claim","     45.00","_HLB Wise Card","","",""
2013-04-19,"Business","Meal Claim","     30.00","_HLB Wise Card","","",""
2013-04-21,"Business","Travel Claim","     78.00","Cash","","",""
2013-04-23,"Business","Travel Claim","     64.40","_UOB One Platinum","","",""
2013-04-29,"Business","Meal Claim","     45.00","_UOB One Platinum","","",""
2013-04-30,"Business","Meal Claim","     15.00","Cash","","",""
2013-05-02,"Business","Meal Claim","     15.00","Cash","","",""
2013-05-03,"Business","Meal Claim","     15.00","Cash","","",""
2013-05-07,"Business","Meal Claim","     15.00","Maybank Savings","","",""
2013-05-10,"Business","Meal Claim","     15.00","Cash","","",""
2013-05-13,"Business","Meal Claim","     30.00","_HLB Wise Card","","",""
2013-05-14,"Business","Meal Claim","     30.00","_HLB Wise Card","","",""
2013-05-16,"Business","Mint Wardrobe","   1254.00","_UOB One Platinum","","",""
2013-05-16,"Business","Meal Claim","     15.00","Cash","","",""
2013-05-17,"Business","Parking Claim","     19.00","Cash","","",""
2013-05-21,"Business","Meal Claim","     15.00","_HLB Wise Card","","",""
2013-05-22,"Business","Meal Claim","     30.00","_HLB Wise Card","","",""
2013-05-27,"Business","Meal Claim","     30.00","_UOB One Platinum","","",""
2013-05-28,"Business","Meal Claim","     30.00","_UOB One Platinum","","",""
2013-05-30,"Business","Parking Claim","      2.00","Cash","","",""
2013-05-30,"Business","Meal Claim","     30.00","_HLB Wise Card","","",""
2013-05-31,"Business","Meal Claim","     15.00","_UOB One Platinum","","",""
2013-06-05,"Business","Meal Claim","     15.00","Maybank Savings","","",""
2013-06-06,"Business","Meal Claim","     60.00","_UOB One Platinum","","",""
2013-06-07,"Business","Meal Claim","     15.00","Cash","","",""
2013-06-10,"Business","Meal Claim","     15.00","Cash","","",""
2013-06-11,"Business","Meal Claim","     15.00","_HLB Wise Card","","",""
2013-06-13,"Business","Mint Wardrobe","   2996.00","Cash","","Currency exchange",""
2013-06-13,"Business","Meal Claim","     15.00","Cash","","",""
2013-06-14,"Business","Meal Claim","     30.00","_HLB Wise Card","","",""
2013-06-14,"Business","Mint Wardrobe","    327.60","Paypal","","",""
2013-06-15,"Business","Mint Wardrobe","     15.00","_Citiibank Platinum","","Luggage",""
2013-06-15,"Business","Mint Wardrobe","     32.95","Maybankard Amex","","Breakfast 15/6",""
2013-06-15,"Business","Mint Wardrobe","     75.00","Cash","","Taxi",""
2013-06-16,"Business","Mint Wardrobe","    280.00","Maybankard Amex","","Return luggage",""
2013-06-16,"Business","Mint Wardrobe","    488.02","Maybankard Amex","","17.18.19 accommodation",""
2013-06-16,"Business","Mint Wardrobe","      4.32","Maybankard Amex","","Airbnb",""
2013-06-19,"Business","Mint Wardrobe","   1082.02","CIMB Saving","","ATM withdraw",""
2013-06-20,"Business","Mint Wardrobe","   1091.67","CIMB Saving","","ATM withdrawal ",""
2013-06-21,"Business","Mint Wardrobe","    852.69","Maybank Savings","","ATM withdrawal",""
2013-06-21,"Business","Mint Wardrobe","     96.60","_UOB One Platinum","","Taxi",""
2013-06-21,"Business","Mint Wardrobe","     20.00","Cash","","Taxi",""
2013-06-21,"Business","Mint Wardrobe","     65.30","Maybankard Amex","","Sogo tea",""
2013-06-21,"Business","Mint Wardrobe","    180.29","Maybankard Amex","","Dior",""
2013-06-22,"Business","Mint Wardrobe","  -5000.00","Maybank Savings","","Kong",""
2013-06-26,"Business","Meal Claim","      9.50","Cash","","",""
2013-06-27,"Business","Meal Claim","     30.00","_HLB Wise Card","","",""
2013-07-02,"Business","Office Claim","     40.00","Cash","","Mc",""
2013-07-03,"Business","Meal Claim","     30.00","Cash","","",""
2013-07-04,"Business","Meal Claim","     15.00","Cash","","",""
2013-07-05,"Business","Meal Claim","     12.90","Cash","","",""
2013-07-08,"Business","Meal Claim","     30.00","_UOB One Platinum","","",""
2013-07-10,"Business","Mint Wardrobe","  -2000.00","Cash","","",""
2013-07-11,"Business","Meal Claim","     15.00","Cash","","",""
2013-07-12,"Business","Meal Claim","     30.00","Cash","","",""
2013-07-12,"Business","Office Claim","     89.00","_HLB Wise Card","","",""
2013-07-15,"Business","Meal Claim","     45.00","HSBC Visa Signature","","",""
2013-07-16,"Business","Meal Claim","     45.00","_HLB Wise Card","","",""
2013-07-18,"Business","Meal Claim","     45.00","HSBC Visa Signature","","",""
2013-07-19,"Business","Meal Claim","     30.00","Cash","","",""
2013-07-22,"Business","Meal Claim","     14.30","Cash","","",""
2013-07-23,"Business","Meal Claim","     15.00","Maybankard Amex","","",""
2013-07-24,"Business","Parking Claim","      4.00","Cash","","",""
2013-09-22,"Business","Parking Claim","    100.00","Cash","","",""
2013-10-23,"Business","Parking Claim","    100.00","Cash","","",""
2013-12-02,"Business","Parking Claim","    100.00","Cash","","",""
2014-07-03,"Business","Travel Claim","   1024.00","Cash","","Visa us",""
2014-07-19,"Business","Travel Claim","   6367.00","Maybankard Amex","","",""
2014-07-27,"Business","Travel Claim","     69.01","_SGD","","Taxi to airport SGD 26.85",""
2014-07-27,"Business","Meal Claim","     34.48","OCBC Titanium","","1080 JPY",""
2014-07-28,"Business","Meal Claim","     57.29","OCBC Titanium","","Logan lunch USD 17.64",""
2014-07-28,"Business","Travel Claim","    247.61","OCBC Titanium","","Taxi - with Tim USD 76.25",""
2014-07-29,"Business","Meal Claim","     37.32","OCBC Titanium","","USD 11.50",""
2014-07-29,"Business","Meal Claim","     24.30","OCBC Titanium","","USD 7.49",""
2014-07-29,"Business","Travel Claim","    195.24","OCBC Titanium","","SIM card USD 60",""
2014-07-30,"Business","Meal Claim","     39.94","OCBC Titanium","","USD 12.28",""
2014-07-30,"Business","Meal Claim","      6.78","OCBC Titanium","","USD 2.09",""
2014-07-31,"Business","Meal Claim","     19.25","OCBC Titanium","","USD 5.89",""
2014-07-31,"Business","Meal Claim","     64.12","_USD","","USD 20",""
2014-08-01,"Business","Meal Claim","     33.35","OCBC Titanium","","USD 10.17",""
2014-08-01,"Business","Meal Claim","     45.93","OCBC Titanium","","USD 14.00",""
