Date,Category,SubCategory,Expense Amount,Account,Payee,Notes,Device
2012-11-02,"Home/Rent","Association fee","   1000.00","CIMB Saving","","",""
2012-12-20,"Home/Rent","Association fee","    150.00","Cash","","",""
2013-01-11,"Home/Rent","Association fee","    800.00","Cash","","",""
2014-01-21,"Home/Rent","Association fee","     20.00","Cash","","Pest control",""
2014-01-29,"Home/Rent","Association fee","    200.00","Coin","","",""
2014-10-18,"Home/Rent","House Loan","   3000.00","CIMB Saving","Mortgage Loan","Atlantis residence booking fee",""
2014-11-12,"Home/Rent","House Loan","   8695.00","OCBC Titanium","Mortgage Loan","Atlantis Deposit balance",""
2015-01-08,"Home/Rent","House Loan","   3553.00","Maybank Savings","","Loan Agreement disbursement",""
2012-07-02,"Utilities","Electricity","    526.20","","","",""
2012-07-03,"Utilities","Water","     12.55","","","",""
2012-07-04,"Utilities","CellPhone","     92.05","","","",""
2012-07-06,"Utilities","Telephone","     85.45","","","",""
2012-07-17,"Utilities","TNG","    100.00","CIMB Saving","","",""
2012-08-01,"Utilities","Electricity","     94.60","Maybank Savings","TNB","",""
2012-08-01,"Utilities","Telephone","     39.45","CIMB Platinum","Unifi","",""
2012-08-01,"Utilities","Water","      7.22","Maybank Savings","Syabas","",""
2012-08-10,"Utilities","CellPhone","     97.50","CIMB Platinum","Digi","",""
2012-09-02,"Utilities","Telephone","     49.20","CIMB Platinum","Unifi","",""
2012-09-02,"Utilities","Electricity","    161.70","Maybank Savings","TNB","",""
2012-09-02,"Utilities","Water","      5.77","Maybank Savings","Syabas","",""
2012-09-03,"Utilities","TNG","     70.00","CIMB Saving","","",""
2012-09-21,"Utilities","CellPhone","     24.27","CIMB Platinum","Digi","",""
2012-10-01,"Utilities","Electricity","    203.15","Maybank Savings","TNB","",""
2012-10-01,"Utilities","Telephone","     45.05","CIMB Platinum","Unifi","",""
2012-10-01,"Utilities","Water","      3.30","Maybank Savings","Syabas","",""
2012-10-01,"Utilities","CellPhone","     42.55","CIMB Platinum","U Mobile","",""
2012-10-05,"Utilities","TNG","     50.00","CIMB Saving","","",""
2012-10-16,"Utilities","CellPhone","     64.30","CIMB Platinum","U Mobile","",""
2012-11-01,"Utilities","Electricity","    161.30","Maybank Savings","TNB","",""
2012-11-01,"Utilities","Water","      7.62","Maybank Savings","Syabas","",""
2012-11-01,"Utilities","Telephone","     41.75","_Citiibank Platinum","Unifi","",""
2012-11-04,"Utilities","TNG","     50.00","CIMB Saving","","",""
2012-11-22,"Utilities","CellPhone","     70.60","CIMB Platinum","U Mobile","",""
2012-11-26,"Utilities","TNG","     50.00","CIMB Saving","","",""
2012-12-01,"Utilities","Telephone","     77.25","_Citiibank Platinum","Unifi","",""
2012-12-01,"Utilities","Water","      3.71","_Citiibank Platinum","Syabas","",""
2012-12-03,"Utilities","Internet","     29.81","Paypal","","Domain",""
2012-12-07,"Utilities","Electricity","    174.25","SCB visa","TNB","",""
2012-12-16,"Utilities","TNG","     50.00","CIMB Saving","","",""
2012-12-18,"Utilities","CellPhone","     96.60","CIMB Platinum","U Mobile","",""
2012-12-21,"Utilities","TNG","     50.00","CIMB Saving","","",""
2012-12-27,"Utilities","Water","      3.71","_Citiibank Platinum","Syabas","",""
2012-12-27,"Utilities","Electricity","     61.95","SCB visa","TNB","",""
2013-01-08,"Utilities","Telephone","     33.30","_Citiibank Platinum","Unifi","",""
2013-01-08,"Utilities","Internet","      9.77","Maybankard Amex","","mintwardrobe.com",""
2013-01-10,"Utilities","TNG","     50.00","CIMB Saving","","",""
2013-01-14,"Utilities","Internet","     45.25","Paypal","End Of Reality","",""
2013-01-17,"Utilities","CellPhone","     64.65","CIMB Platinum","U Mobile","",""
2013-01-29,"Utilities","TNG","     50.00","CIMB Saving","","",""
2013-02-01,"Utilities","Electricity","    135.95","_Citiibank Platinum","TNB","",""
2013-02-01,"Utilities","Water","      7.21","_Citiibank Platinum","Syabas","",""
2013-02-18,"Utilities","TNG","     50.00","CIMB Saving","","",""
2013-02-22,"Utilities","Internet","    134.95","_Citiibank Platinum","Unifi","",""
2013-02-22,"Utilities","CellPhone","     72.10","CIMB Platinum","U Mobile","",""
2013-02-23,"Utilities","Internet","    -75.00","Cash","Unifi","",""
2013-02-27,"Utilities","Internet","    134.95","_Citiibank Platinum","Unifi","",""
2013-03-01,"Utilities","Water","      4.74","_Citiibank Platinum","Syabas","",""
2013-03-01,"Utilities","Electricity","    166.25","_Citiibank Platinum","TNB","",""
2013-03-11,"Utilities","Internet","     12.41","Paypal","","",""
2013-03-11,"Utilities","Internet","    -20.00","Cash","","",""
2013-03-11,"Utilities","Internet","      9.92","_Citiibank Platinum","","",""
2013-03-19,"Utilities","Internet","    -75.00","Cash","Unifi","",""
2013-03-20,"Utilities","CellPhone","     63.35","CIMB Platinum","U Mobile","",""
2013-04-01,"Utilities","Electricity","    162.55","_Citiibank Platinum","TNB","",""
2013-04-05,"Utilities","TNG","     50.00","CIMB Saving","","",""
2013-04-10,"Utilities","Internet","     12.20","_HLB Wise Card","Unifi","",""
2013-04-10,"Utilities","Internet","     12.20","_Citiibank Platinum","Unifi","",""
2013-04-16,"Utilities","Internet","    -75.00","Cash","Unifi","",""
2013-04-19,"Utilities","Internet","     45.53","Paypal","End Of Reality","",""
2013-04-20,"Utilities","CellPhone","     63.40","CIMB Platinum","U Mobile","",""
2013-04-30,"Utilities","Internet","    134.80","_HLB Wise Card","Unifi","",""
2013-05-02,"Utilities","Electricity","    139.70","_UOB One Platinum","TNB","",""
2013-05-02,"Utilities","TNG","    100.00","CIMB Saving","","",""
2013-05-02,"Utilities","TNG","    -50.00","Cash","","",""
2013-05-17,"Utilities","CellPhone","     64.65","CIMB Platinum","U Mobile","",""
2013-05-18,"Utilities","Internet","    -75.00","Cash","Unifi","",""
2013-05-21,"Utilities","TNG","     50.00","CIMB Saving","","",""
2013-05-27,"Utilities","Internet","    147.15","_HLB Wise Card","Unifi","",""
2013-06-01,"Utilities","Water","      1.44","_UOB One Platinum","Syabas","",""
2013-06-01,"Utilities","Electricity","    143.35","_UOB One Platinum","TNB","",""
2013-06-04,"Utilities","TNG","    100.00","CIMB Saving","","",""
2013-06-04,"Utilities","TNG","    -50.00","Cash","","",""
2013-06-14,"Utilities","CellPhone","     66.20","CIMB Platinum","U Mobile","",""
2013-06-24,"Utilities","TNG","     50.00","CIMB Saving","","",""
2013-06-24,"Utilities","Internet","    142.00","_HLB Wise Card","Unifi","",""
2013-06-29,"Utilities","TNG","     50.00","CIMB Saving","","",""
2013-07-03,"Utilities","Electricity","    243.85","_UOB One Platinum","TNB","",""
2013-07-03,"Utilities","Water","      6.80","_UOB One Platinum","Syabas","",""
2013-07-03,"Utilities","Internet","   -150.00","Cash","Unifi","",""
2013-07-17,"Utilities","Internet","    147.00","_HLB Wise Card","Unifi","",""
2013-07-18,"Utilities","CellPhone","    176.55","CIMB Platinum","U Mobile","",""
2013-07-19,"Utilities","Internet","     48.02","Paypal","End Of Reality","",""
2013-07-31,"Utilities","Electricity","    188.20","OCBC Titanium","TNB","",""
2013-07-31,"Utilities","Water","      5.00","OCBC Titanium","Syabas","",""
2013-08-01,"Utilities","TNG","    100.00","CIMB Saving","","",""
2013-08-16,"Utilities","CellPhone","     60.00","_HLB Wise Card","U Mobile","",""
2013-08-22,"Utilities","Internet","    147.05","OCBC Titanium","Unifi","",""
2013-08-25,"Utilities","Internet","    -75.00","Cash","Unifi","",""
2013-08-28,"Utilities","Electricity","    219.30","OCBC Titanium","TNB","",""
2013-08-28,"Utilities","Water","      5.90","OCBC Titanium","Syabas","",""
2013-08-28,"Utilities","TNG","     50.00","CIMB Saving","","",""
2013-09-13,"Utilities","TNG","     50.00","CIMB Saving","","",""
2013-09-19,"Utilities","CellPhone","     41.35","_HLB Wise Card","U Mobile","",""
2013-09-24,"Utilities","Internet","    -75.00","Cash","Unifi","",""
2013-09-27,"Utilities","Water","      5.00","OCBC Titanium","Syabas","",""
2013-09-27,"Utilities","Electricity","    180.20","OCBC Titanium","TNB","",""
2013-10-02,"Utilities","Internet","    147.00","OCBC Titanium","Unifi","",""
2013-10-14,"Utilities","Internet","    147.00","Maybankard Amex","Unifi","",""
2013-10-15,"Utilities","CellPhone","     39.45","_HLB Wise Card","U Mobile","",""
2013-10-18,"Utilities","Internet","     48.02","Paypal","End Of Reality","",""
2013-10-21,"Utilities","TNG","     50.00","CIMB Saving","","",""
2013-10-23,"Utilities","Internet","    -75.00","Cash","Unifi","",""
2013-10-26,"Utilities","Electricity","    203.80","OCBC Titanium","TNB","",""
2013-10-26,"Utilities","Water","      6.35","OCBC Titanium","Syabas","",""
2013-11-05,"Utilities","TNG","     50.00","CIMB Saving","","",""
2013-11-13,"Utilities","CellPhone","     36.50","_HLB Wise Card","U Mobile","",""
2013-11-14,"Utilities","Internet","    147.00","Maybankard Amex","Unifi","",""
2013-11-27,"Utilities","Electricity","    166.75","OCBC Titanium","TNB","",""
2013-11-27,"Utilities","Water","      5.00","OCBC Titanium","Syabas","",""
2013-12-15,"Utilities","Internet","   -150.00","Cash","Unifi","",""
2013-12-18,"Utilities","Internet","    147.00","Maybankard Amex","Unifi","",""
2013-12-20,"Utilities","CellPhone","     41.95","_HLB Wise Card","U Mobile","",""
2013-12-25,"Utilities","Electricity","    185.25","Maybankard Amex","TNB","",""
2013-12-25,"Utilities","Water","      2.85","Maybank Savings","Syabas","",""
2013-12-28,"Utilities","TNG","     50.00","CIMB Saving","","",""
2014-01-14,"Utilities","Internet","    147.00","Maybankard Amex","Unifi","",""
2014-01-19,"Utilities","Internet","     48.02","Paypal","End Of Reality","",""
2014-01-21,"Utilities","CellPhone","     10.00","Cash","U Mobile","Nano sim",""
2014-01-25,"Utilities","CellPhone","     35.70","Maybankard Amex","U Mobile","",""
2014-01-26,"Utilities","Electricity","    140.45","Maybankard Amex","TNB","",""
2014-01-26,"Utilities","Water","      5.00","OCBC Titanium","Syabas","",""
2014-01-26,"Utilities","TNG","     50.00","CIMB Saving","","",""
2014-01-29,"Utilities","Internet","    -75.00","Cash","","",""
2014-02-17,"Utilities","CellPhone","     43.75","Maybankard Amex","U Mobile","",""
2014-02-20,"Utilities","Internet","    132.00","Maybankard Amex","Unifi","",""
2014-03-01,"Utilities","Electricity","    309.30","Maybankard Amex","TNB","",""
2014-03-01,"Utilities","Water","      5.90","OCBC Titanium","Syabas","",""
2014-03-01,"Utilities","Internet","     32.12","Paypal","","Kanasite.com renewal",""
2014-03-01,"Utilities","Internet","     49.72","Paypal","","Suetying.com renewal",""
2014-03-01,"Utilities","Internet","   -150.00","Cash","Unifi","",""
2014-03-07,"Utilities","TNG","     50.00","CIMB Saving","","",""
2014-03-15,"Utilities","Internet","    147.00","Maybankard Amex","Unifi","",""
2014-03-16,"Utilities","TNG","     50.00","Cash","","",""
2014-03-23,"Utilities","TNG","    100.00","CIMB Saving","","",""
2014-03-29,"Utilities","TNG","     50.00","Cash","","",""
2014-03-30,"Utilities","Electricity","    232.35","Maybankard Amex","TNB","",""
2014-03-30,"Utilities","Water","      6.20","OCBC Titanium","Syabas","",""
2014-03-31,"Utilities","CellPhone","    127.50","OCBC Titanium","Maxis","",""
2014-04-02,"Utilities","TNG","     50.00","Cash","","",""
2014-04-15,"Utilities","Internet","    -50.00","Maybank Savings","","Suetying.com",""
2014-04-16,"Utilities","TNG","    100.00","Cash","","",""
2014-04-18,"Utilities","Internet","     48.02","Paypal","End Of Reality","",""
2014-04-21,"Utilities","Internet","    -75.00","Cash","Unifi","",""
2014-04-22,"Utilities","Internet","    148.05","Maybankard Amex","Unifi","",""
2014-04-26,"Utilities","Electricity","    198.30","Maybankard Amex","TNB","",""
2014-04-26,"Utilities","Water","      6.78","OCBC Titanium","Syabas","",""
2014-04-29,"Utilities","CellPhone","     70.35","Maybankard Amex","Maxis","",""
2014-05-15,"Utilities","Internet","    147.00","Maybankard Amex","Unifi","",""
2014-05-24,"Utilities","TNG","    100.00","Cash","","",""
2014-05-25,"Utilities","Electricity","    218.75","Maybankard Amex","TNB","",""
2014-05-25,"Utilities","Water","      6.20","OCBC Titanium","Syabas","",""
2014-05-27,"Utilities","CellPhone","     62.10","Maybankard Amex","Maxis","",""
2014-06-02,"Utilities","Internet","   -150.00","Cash","Unifi","",""
2014-06-04,"Utilities","TNG","     50.00","CIMB Saving","","",""
2014-06-14,"Utilities","Internet","    147.00","Maybankard Amex","Unifi","Unifi",""
2014-06-26,"Utilities","CellPhone","     65.40","Maybankard Amex","Maxis","",""
2014-06-29,"Utilities","Electricity","    236.05","Maybankard Amex","TNB","",""
2014-06-29,"Utilities","Water","     23.07","OCBC Titanium","Syabas","",""
2014-07-03,"Utilities","TNG","     50.00","CIMB Saving","","",""
2014-07-17,"Utilities","Internet","    137.00","Maybankard Amex","Unifi","Unifi",""
2014-07-19,"Utilities","Internet","     48.02","Paypal","End Of Reality","Server hosting eor",""
2014-07-30,"Utilities","CellPhone","     65.10","Maybankard Amex","Maxis","",""
2014-08-01,"Utilities","Electricity","    249.95","Maybankard Amex","TNB","",""
2014-08-01,"Utilities","Water","      6.18","OCBC Titanium","Syabas","",""
2014-08-14,"Utilities","Internet","    147.00","Maybankard Amex","Unifi","",""
2014-08-27,"Utilities","CellPhone","    159.95","Maybankard Amex","Maxis","",""
2014-09-03,"Utilities","Internet","   -300.00","Cash","Unifi","July-Oct",""
2014-09-06,"Utilities","Electricity","    197.45","Maybankard Amex","TNB","",""
2014-09-10,"Utilities","TNG","    100.00","CIMB Saving","","",""
2014-09-18,"Utilities","Internet","    147.00","Maybankard Amex","Unifi","",""
2014-09-26,"Utilities","CellPhone","     73.80","Maybankard Amex","Maxis","",""
2014-09-28,"Utilities","Electricity","    160.55","Maybankard Amex","TNB","",""
2014-10-14,"Utilities","Internet","    198.15","Maybankard Amex","Unifi","",""
2014-10-18,"Utilities","TNG","     50.00","Cash","","",""
2014-10-19,"Utilities","Internet","     40.34","Paypal","End Of Reality","Server hosting eor",""
2014-10-19,"Utilities","Internet","      8.08","Maybankard Amex","End Of Reality","USD 2.40",""
2014-10-27,"Utilities","CellPhone","     58.70","Maybankard Amex","Maxis","",""
2014-11-01,"Utilities","Electricity","    161.60","Maybankard Amex","TNB","",""
2014-11-01,"Utilities","Water","      5.00","OCBC Titanium","Syabas","",""
2014-11-01,"Utilities","TNG","     20.00","Cash","","",""
2014-11-05,"Utilities","TNG","     50.00","Cash","","",""
2014-11-15,"Utilities","Internet","   -270.00","Cash","Unifi","Oct nov dec",""
2014-11-15,"Utilities","Internet","    177.00","Maybankard Amex","Unifi","",""
2014-11-27,"Utilities","CellPhone","     56.35","Maybankard Amex","Maxis","",""
2014-11-29,"Utilities","Electricity","    138.00","Maybankard Amex","TNB","",""
2014-12-16,"Utilities","Internet","    157.00","Maybankard Amex","Unifi","",""
2014-12-22,"Utilities","TNG","    100.00","Cash","","",""
2014-12-26,"Utilities","CellPhone","     55.75","Maybankard Amex","Maxis","",""
2015-01-03,"Utilities","Electricity","    149.55","Maybankard Amex","TNB","",""
2015-01-03,"Utilities","Water","      5.00","OCBC Titanium","Syabas","",""
2015-01-10,"Utilities","TNG","    100.00","Cash","","",""
2015-01-15,"Utilities","Internet","    177.30","Maybankard Amex","Unifi","",""
2015-01-18,"Utilities","Internet","     48.02","Paypal","End Of Reality","Server hosting eor",""
2015-01-26,"Utilities","CellPhone","     61.30","Maybankard Amex","Maxis","",""
2015-02-01,"Utilities","Electricity","    156.60","Maybankard Amex","TNB","",""
2012-07-01,"Food/Groceries","Restaurant/Fast food","     10.00","","","",""
2012-07-01,"Food/Groceries","Restaurant/Fast food","      2.00","","","",""
2012-07-02,"Food/Groceries","Restaurant/Fast food","      5.80","","","",""
2012-07-03,"Food/Groceries","Alcohol","    248.65","","","",""
2012-07-04,"Food/Groceries","Restaurant/Fast food","      4.20","","","",""
2012-07-05,"Food/Groceries","Restaurant/Fast food","     11.70","","","",""
2012-07-05,"Food/Groceries","Alcohol","     87.00","","","",""
2012-07-06,"Food/Groceries","Restaurant/Fast food","     19.00","","","",""
2012-07-06,"Food/Groceries","Restaurant/Fast food","    190.30","","","",""
2012-07-07,"Food/Groceries","Restaurant/Fast food","      5.50","","","",""
2012-07-07,"Food/Groceries","Restaurant/Fast food","      3.00","","","",""
2012-07-08,"Food/Groceries","Restaurant/Fast food","     15.00","","","",""
2012-07-08,"Food/Groceries","Restaurant/Fast food","      1.50","","","",""
2012-07-08,"Food/Groceries","Alcohol","    136.75","","","",""
2012-07-09,"Food/Groceries","Restaurant/Fast food","      4.00","","","",""
2012-07-09,"Food/Groceries","Restaurant/Fast food","      6.80","","","",""
2012-07-10,"Food/Groceries","Restaurant/Fast food","     12.00","","","",""
2012-07-10,"Food/Groceries","Alcohol","     50.00","","","",""
2012-07-10,"Food/Groceries","Alcohol","     32.00","","","",""
2012-07-10,"Food/Groceries","Alcohol","     30.00","","","",""
2012-07-11,"Food/Groceries","Restaurant/Fast food","      3.50","","","",""
2012-07-12,"Food/Groceries","Restaurant/Fast food","      8.95","Cash","","",""
2012-07-12,"Food/Groceries","Restaurant/Fast food","      2.00","Cash","","",""
2012-07-12,"Food/Groceries","Alcohol","    404.95","CIMB Platinum","","",""
2012-07-12,"Food/Groceries","Alcohol","    -41.55","Cash","","",""
2012-07-13,"Food/Groceries","Restaurant/Fast food","     22.00","Cash","","",""
2012-07-14,"Food/Groceries","Restaurant/Fast food","      7.00","Cash","","",""
2012-07-15,"Food/Groceries","Restaurant/Fast food","      6.00","Cash","","",""
2012-07-15,"Food/Groceries","Alcohol","     42.00","Cash","","",""
2012-07-17,"Food/Groceries","Alcohol","     70.00","Cash","","",""
2012-07-17,"Food/Groceries","Restaurant/Fast food","     10.00","Cash","","",""
2012-07-20,"Food/Groceries","Restaurant/Fast food","      3.00","Cash","","",""
2012-07-20,"Food/Groceries","Restaurant/Fast food","      7.50","Cash","","",""
2012-07-21,"Food/Groceries","Restaurant/Fast food","      7.50","Cash","","",""
2012-07-21,"Food/Groceries","Alcohol","    120.00","CIMB Platinum","","",""
2012-07-21,"Food/Groceries","Alcohol","    -60.00","Cash","","",""
2012-07-21,"Food/Groceries","Restaurant/Fast food","      7.00","Cash","","",""
2012-07-21,"Food/Groceries","Alcohol","    -50.00","Cash","","",""
2012-07-21,"Food/Groceries","Restaurant/Fast food","     50.00","Cash","","",""
2012-07-22,"Food/Groceries","Restaurant/Fast food","      9.65","Cash","","",""
2012-07-22,"Food/Groceries","Restaurant/Fast food","     -0.80","Cash","","",""
2012-07-22,"Food/Groceries","Restaurant/Fast food","      7.00","Cash","","",""
2012-07-23,"Food/Groceries","Restaurant/Fast food","      5.00","Cash","","",""
2012-07-24,"Food/Groceries","Restaurant/Fast food","     43.10","CIMB Platinum","","",""
2012-07-26,"Food/Groceries","Restaurant/Fast food","     16.00","Cash","","",""
2012-07-26,"Food/Groceries","Alcohol","    330.85","CIMB Platinum","","",""
2012-07-26,"Food/Groceries","Alcohol","    -90.00","Cash","","",""
2012-07-27,"Food/Groceries","Alcohol","    120.00","Cash","","",""
2012-07-27,"Food/Groceries","Alcohol","    120.00","CIMB Platinum","","",""
2012-07-28,"Food/Groceries","Restaurant/Fast food","     13.00","Cash","","",""
2012-07-28,"Food/Groceries","Restaurant/Fast food","      2.80","Cash","","",""
2012-07-28,"Food/Groceries","Alcohol","    -60.00","Cash","","",""
2012-07-31,"Food/Groceries","Restaurant/Fast food","      0.20","Cash","","",""
2012-08-01,"Food/Groceries","Restaurant/Fast food","      5.00","Cash","","",""
2012-08-02,"Food/Groceries","Alcohol","     41.55","CIMB Platinum","","",""
2012-08-02,"Food/Groceries","Alcohol","    -20.00","Cash","","",""
2012-08-02,"Food/Groceries","Restaurant/Fast food","      4.00","Cash","","",""
2012-08-03,"Food/Groceries","Restaurant/Fast food","      5.80","Cash","","",""
2012-08-04,"Food/Groceries","Alcohol","    188.00","CIMB Platinum","","",""
2012-08-04,"Food/Groceries","Alcohol","    -90.00","Cash","","",""
2012-08-04,"Food/Groceries","Alcohol","    -50.00","Cash","","",""
2012-08-04,"Food/Groceries","Restaurant/Fast food","      5.00","Cash","","",""
2012-08-04,"Food/Groceries","Alcohol","    140.00","CIMB Platinum","","",""
2012-08-05,"Food/Groceries","Restaurant/Fast food","     11.00","Cash","","",""
2012-08-06,"Food/Groceries","Restaurant/Fast food","      2.90","Cash","","",""
2012-08-06,"Food/Groceries","Restaurant/Fast food","      6.40","Cash","","",""
2012-08-06,"Food/Groceries","Restaurant/Fast food","     14.50","Cash","","",""
2012-08-07,"Food/Groceries","Restaurant/Fast food","     21.50","Maybank Savings","","",""
2012-08-08,"Food/Groceries","Restaurant/Fast food","     10.00","Cash","","",""
2012-08-11,"Food/Groceries","Restaurant/Fast food","      6.50","Cash","","",""
2012-08-11,"Food/Groceries","Restaurant/Fast food","     20.00","Cash","","",""
2012-08-12,"Food/Groceries","Restaurant/Fast food","     22.00","Cash","","",""
2012-08-15,"Food/Groceries","Restaurant/Fast food","     10.00","Cash","","",""
2012-08-15,"Food/Groceries","Alcohol","    112.40","CIMB Platinum","","",""
2012-08-16,"Food/Groceries","Restaurant/Fast food","      6.80","Cash","","",""
2012-08-16,"Food/Groceries","Restaurant/Fast food","      2.20","Cash","","",""
2012-08-17,"Food/Groceries","Restaurant/Fast food","     10.00","Cash","","",""
2012-08-17,"Food/Groceries","Restaurant/Fast food","    201.30","CIMB Platinum","","",""
2012-08-17,"Food/Groceries","Restaurant/Fast food","   -100.00","Cash","","",""
2012-08-18,"Food/Groceries","Restaurant/Fast food","     20.00","Cash","","",""
2012-08-18,"Food/Groceries","Restaurant/Fast food","      7.50","Cash","","",""
2012-08-19,"Food/Groceries","Restaurant/Fast food","     12.70","Cash","","",""
2012-08-19,"Food/Groceries","Restaurant/Fast food","      2.10","Cash","","",""
2012-08-19,"Food/Groceries","Alcohol","     30.00","Cash","","",""
2012-08-19,"Food/Groceries","Restaurant/Fast food","     10.00","Cash","","",""
2012-08-20,"Food/Groceries","Restaurant/Fast food","     20.70","Cash","","",""
2012-08-21,"Food/Groceries","Restaurant/Fast food","      2.50","Cash","","",""
2012-08-21,"Food/Groceries","Restaurant/Fast food","      4.50","Cash","","",""
2012-08-21,"Food/Groceries","Restaurant/Fast food","      4.90","Cash","","",""
2012-08-21,"Food/Groceries","Alcohol","     22.80","Cash","","",""
2012-08-21,"Food/Groceries","Alcohol","    -75.00","Cash","","",""
2012-08-21,"Food/Groceries","Alcohol","    377.50","CIMB Platinum","","",""
2012-08-21,"Food/Groceries","Alcohol","    -20.00","Cash","","",""
2012-08-22,"Food/Groceries","Restaurant/Fast food","     -0.45","Cash","","",""
2012-08-23,"Food/Groceries","Restaurant/Fast food","      2.40","Cash","","",""
2012-08-24,"Food/Groceries","Alcohol","     61.25","CIMB Platinum","","",""
2012-08-24,"Food/Groceries","Alcohol","    -30.00","Cash","","",""
2012-08-24,"Food/Groceries","Restaurant/Fast food","      2.40","Cash","","",""
2012-08-25,"Food/Groceries","Restaurant/Fast food","      5.00","Cash","","",""
2012-08-25,"Food/Groceries","Restaurant/Fast food","     15.00","Cash","","",""
2012-08-25,"Food/Groceries","Restaurant/Fast food","     13.00","Cash","","",""
2012-08-26,"Food/Groceries","Restaurant/Fast food","      5.40","Cash","","",""
2012-08-26,"Food/Groceries","Alcohol","    217.60","CIMB Platinum","","",""
2012-08-26,"Food/Groceries","Alcohol","   -167.00","Cash","","",""
2012-08-28,"Food/Groceries","Restaurant/Fast food","      2.30","Cash","","",""
2012-08-29,"Food/Groceries","Restaurant/Fast food","      1.30","Cash","","",""
2012-08-30,"Food/Groceries","Restaurant/Fast food","     12.90","Cash","","",""
2012-08-30,"Food/Groceries","Restaurant/Fast food","      2.00","Cash","","",""
2012-08-31,"Food/Groceries","Restaurant/Fast food","      2.60","Cash","","",""
2012-08-31,"Food/Groceries","Alcohol","     65.00","Cash","","",""
2012-09-01,"Food/Groceries","Restaurant/Fast food","      1.00","Cash","","",""
2012-09-01,"Food/Groceries","Restaurant/Fast food","     12.00","Cash","","",""
2012-09-01,"Food/Groceries","Restaurant/Fast food","      3.45","Cash","","",""
2012-09-01,"Food/Groceries","Restaurant/Fast food","      1.00","Cash","","",""
2012-09-01,"Food/Groceries","Restaurant/Fast food","      2.50","Cash","","",""
2012-09-02,"Food/Groceries","Restaurant/Fast food","      7.00","Cash","","",""
2012-09-02,"Food/Groceries","Restaurant/Fast food","      2.40","Cash","","",""
2012-09-03,"Food/Groceries","Restaurant/Fast food","      2.30","Coin","","",""
2012-09-03,"Food/Groceries","Alcohol","    114.25","CIMB Platinum","","",""
2012-09-03,"Food/Groceries","Alcohol","    -67.00","Cash","","",""
2012-09-04,"Food/Groceries","Restaurant/Fast food","      3.40","Cash","","",""
2012-09-05,"Food/Groceries","Restaurant/Fast food","      5.00","Cash","","",""
2012-09-06,"Food/Groceries","Restaurant/Fast food","     10.00","Cash","","",""
2012-09-06,"Food/Groceries","Restaurant/Fast food","     51.85","CIMB Platinum","","",""
2012-09-06,"Food/Groceries","Restaurant/Fast food","     11.80","Cash","","",""
2012-09-06,"Food/Groceries","Restaurant/Fast food","      6.00","Cash","","",""
2012-09-07,"Food/Groceries","Restaurant/Fast food","      3.00","Cash","","",""
2012-09-07,"Food/Groceries","Restaurant/Fast food","     10.00","Cash","","",""
2012-09-08,"Food/Groceries","Restaurant/Fast food","      5.50","Cash","","",""
2012-09-08,"Food/Groceries","Restaurant/Fast food","      2.20","Cash","","",""
2012-09-08,"Food/Groceries","Restaurant/Fast food","     14.00","Cash","","",""
2012-09-08,"Food/Groceries","Restaurant/Fast food","      2.80","Cash","","",""
2012-09-08,"Food/Groceries","Restaurant/Fast food","      2.50","Cash","","",""
2012-09-09,"Food/Groceries","Restaurant/Fast food","      9.80","Cash","","",""
2012-09-09,"Food/Groceries","Restaurant/Fast food","     24.00","Cash","","",""
2012-09-10,"Food/Groceries","Alcohol","     10.80","Cash","","",""
2012-09-11,"Food/Groceries","Restaurant/Fast food","      3.70","Cash","","",""
2012-09-12,"Food/Groceries","Restaurant/Fast food","      3.50","Cash","","",""
2012-09-13,"Food/Groceries","Restaurant/Fast food","     83.50","Cash","","",""
2012-09-14,"Food/Groceries","Restaurant/Fast food","     14.90","Cash","","",""
2012-09-15,"Food/Groceries","Restaurant/Fast food","      6.00","Cash","","",""
2012-09-15,"Food/Groceries","Restaurant/Fast food","      5.70","Cash","","",""
2012-09-16,"Food/Groceries","Restaurant/Fast food","      6.50","Cash","","",""
2012-09-16,"Food/Groceries","Restaurant/Fast food","    121.80","CIMB Platinum","","",""
2012-09-16,"Food/Groceries","Alcohol","     21.00","Cash","","",""
2012-09-16,"Food/Groceries","Alcohol","    208.80","CIMB Platinum","","",""
2012-09-16,"Food/Groceries","Alcohol","     10.00","Cash","","",""
2012-09-17,"Food/Groceries","Alcohol","   -160.00","Maybank Savings","","",""
2012-09-17,"Food/Groceries","Restaurant/Fast food","      6.00","Cash","","",""
2012-09-17,"Food/Groceries","Restaurant/Fast food","     10.00","Cash","","",""
2012-09-18,"Food/Groceries","Restaurant/Fast food","      2.80","Cash","","",""
2012-09-18,"Food/Groceries","Restaurant/Fast food","     10.90","Cash","","",""
2012-09-19,"Food/Groceries","Alcohol","     50.00","Cash","","",""
2012-09-21,"Food/Groceries","Restaurant/Fast food","     17.90","Cash","","",""
2012-09-21,"Food/Groceries","Restaurant/Fast food","     10.00","Cash","","",""
2012-09-21,"Food/Groceries","Restaurant/Fast food","      6.00","Cash","","",""
2012-09-23,"Food/Groceries","Restaurant/Fast food","      2.80","Cash","","",""
2012-09-24,"Food/Groceries","Restaurant/Fast food","     35.00","Cash","","",""
2012-09-24,"Food/Groceries","Alcohol","    224.60","CIMB Platinum","","",""
